ID,Name,Lat,Lon,Type
1,"0, Beverly Park Rd, Chandan Shanti, Mira Road East",19.2880879,72.86738304,
2,"0, Central Park Rd, Sector 20, Kharghar",19.05418721,73.07799423,
3,VP Road,19.09202929,72.83554035,
4,"Shop No.3/4, Kanjur Marg Village, Damle Colony, Kanjurmarg East, Bhandup East",19.13098535,72.93583294,
5,NH48,19.29449978,72.90783791,
6,Babasaheb Road,19.18054417,73.00618626,
7,"0, Relief Rd, Jankalyan CHS, Bangur Nagar, Goregaon West",19.16473731,72.8306846,
8,"0, Ghodbunder Rd, Hawaiian Village, Thane West",19.26965913,72.95024447,
9,"0/1, MGM School Marg, Sector 8, Nerul West",19.04219528,73.01638482,
10,"700, Aala Hazrat Rd, Jagruti Nagar, Nehru Nagar, Kurla East",19.0665019,72.88116064,
11,"0, Lal Bahadur Shastri Rd, Nirmal Nagar, Mulund West",19.16691057,72.93923716,
12,Casa Rio Internal Road,19.14458257,73.07236915,
13,Danda Coastal Rd,19.0749135,72.81869702,
14,"0, PL Lokhande Marg, BMC Colony, Chedda Nagar",19.06334577,72.90052688,
15,Rodas Enclave,19.25866711,72.99237314,
16,Kalyan - Shilphata Rd,19.22754222,73.12323066,
17,Mhatardi Gaon Rd,19.19541582,73.05395791,
18,Sky Pillar Apartment,19.19952957,72.97537019,
19,300-D,19.21024781,72.86256077,
20,Koliwada Rd,19.16146075,72.78083316,
21,"0, Vijay Garden Rd, Kavesar, Thane West",19.26380116,72.97599102,
22,Goregaon-Mulund Link Rd,19.15398022,72.95671677,
23,3D-102,19.21823572,72.87017239,
24,Mumbai - Agra National Hwy,19.22515791,73.02377234,
25,Madh - Marve Rd,19.18224383,72.79503825,
26,JANKI HERITAGE,19.29531668,72.84718264,
27,"100-218, RSC Rd Number 37, Gorai 2, Borivali West",19.22675028,72.82017869,
28,Marine Dr,18.92654613,72.81465157,
29,"700, Sector 2",19.09620566,73.02228659,
30,"Wing-A-A, Navghar Rd, Salasar Nagar, Bhayandar East",19.30792246,72.86131297,
31,Cart Path,19.05106092,73.06167634,
32,"F, Panch Ratan Rd, Sunderwadi, Versova, Andheri West",19.13693325,72.81384796,
33,Mumbai - Agra National Hwy,19.10239785,72.92856124,
34,"0, Sewri Ford Rd, MPT, Sewri",18.99910959,72.8622222,
35,"A-28, Gyan Vikas Road, Shree Ganesh Panchami Society, Sector 23, Kopar Khairane",19.09839378,72.99602286,
36,"B/101, Mumbai - Pune Rd, Narayan Patil Wadi, Taha Nagar, Mumbra",19.20182463,73.02266327,
37,Station Rd,18.98854361,73.12135443,
38,Mira Kurti Apt.,19.27765089,72.87001967,
39,500-A,19.06685976,72.83453429,
40,Shahid Bhagat Singh Rd,19.21665667,73.08961822,
41,Virani Towers,19.25298947,72.8628708,
42,"Plot No.96, Swami Nityanand Rd, HOC Colony, Panvel",18.99588197,73.10781911,
43,"D-222/227, Thane - Belapur Rd, MIDC Industrial Area, Shiravane, Nerul",19.04909375,73.02371115,
44,Dhobighat Rd,19.23949778,73.17033972,
45,Elita,19.1231851,72.82753431,
46,Varsha,18.95509942,72.79962993,
47,Cheradevi Kaloni Gali,19.19730783,73.08683829,
48,"200, Mount Mary",19.05118011,72.82342463,
49,Bama Society,19.18528181,72.99037033,
50,"C-19, Mugalsan Rd, Sector 20C, Sector 20, Airoli",19.16603499,72.98750463,
51,MH SH 76,19.10241939,73.06957521,
52,"D-505, S Central Rd, MIDC Industrial Area, Sanpada",19.055433,73.03330049,
