od,origin,dest,unique_id,lat_o,lon_o,lat_d,lon_d,type_o,type_d
Borivali-Andheri East,Borivali,Andheri East,265-357,19.2205771,72.862368,19.1155649,72.8608375,residential,business
Borivali-BKC,Borivali,BKC,265-182,19.2205771,72.862368,19.0605751,72.8626837,residential,business
Borivali-Lower Parel,Borivali,Lower Parel,265-239,19.2205771,72.862368,18.9991801,72.8289638,residential,business
Borivali-Malad,Borivali,Malad,265-350,19.2205771,72.862368,19.1852403,72.8577155,residential,business
Borivali-Nariman Point,Borivali,Nariman Point,265-382,19.2205771,72.862368,18.9279097,72.8217757,residential,business
Andheri West-Andheri East,Andheri West,Andheri East,403-357,19.1339977,72.8339749,19.1155649,72.8608375,residential,business
Andheri West-BKC,Andheri West,BKC,403-182,19.1339977,72.8339749,19.0605751,72.8626837,residential,business
Andheri West-Lower Parel,Andheri West,Lower Parel,403-239,19.1339977,72.8339749,18.9991801,72.8289638,residential,business
Andheri West-Malad,Andheri West,Malad,403-350,19.1339977,72.8339749,19.1852403,72.8577155,residential,business
Andheri West-Nariman Point,Andheri West,Nariman Point,403-382,19.1339977,72.8339749,18.9279097,72.8217757,residential,business
Chembur-Andheri East,Chembur,Andheri East,598-357,19.0443516,72.8919425,19.1155649,72.8608375,residential,business
Chembur-BKC,Chembur,BKC,598-182,19.0443516,72.8919425,19.0605751,72.8626837,residential,business
Chembur-Lower Parel,Chembur,Lower Parel,598-239,19.0443516,72.8919425,18.9991801,72.8289638,residential,business
Chembur-Malad,Chembur,Malad,598-350,19.0443516,72.8919425,19.1852403,72.8577155,residential,business
Chembur-Nariman Point,Chembur,Nariman Point,598-382,19.0443516,72.8919425,18.9279097,72.8217757,residential,business
Marine Drive-Andheri East,Marine Drive,Andheri East,577-357,18.9347773,72.8217133,19.1155649,72.8608375,residential,business
Marine Drive-BKC,Marine Drive,BKC,577-182,18.9347773,72.8217133,19.0605751,72.8626837,residential,business
Marine Drive-Lower Parel,Marine Drive,Lower Parel,577-239,18.9347773,72.8217133,18.9991801,72.8289638,residential,business
Marine Drive-Malad,Marine Drive,Malad,577-350,18.9347773,72.8217133,19.1852403,72.8577155,residential,business
Marine Drive-Nariman Point,Marine Drive,Nariman Point,577-382,18.9347773,72.8217133,18.9279097,72.8217757,residential,business
Malad-Borivali,Malad,Borivali,350-265,19.1852403,72.8577155,19.2205771,72.862368,business,residential
Malad-Andheri West,Malad,Andheri West,350-403,19.1852403,72.8577155,19.1339977,72.8339749,business,residential
Malad-Chembur,Malad,Chembur,350-598,19.1852403,72.8577155,19.0443516,72.8919425,business,residential
Malad-Marine Drive,Malad,Marine Drive,350-577,19.1852403,72.8577155,18.9347773,72.8217133,business,residential
Andheri East-Borivali,Andheri East,Borivali,357-265,19.1155649,72.8608375,19.2205771,72.862368,business,residential
Andheri East-Andheri West,Andheri East,Andheri West,357-403,19.1155649,72.8608375,19.1339977,72.8339749,business,residential
Andheri East-Chembur,Andheri East,Chembur,357-598,19.1155649,72.8608375,19.0443516,72.8919425,business,residential
Andheri East-Marine Drive,Andheri East,Marine Drive,357-577,19.1155649,72.8608375,18.9347773,72.8217133,business,residential
BKC-Borivali,BKC,Borivali,182-265,19.0605751,72.8626837,19.2205771,72.862368,business,residential
BKC-Andheri West,BKC,Andheri West,182-403,19.0605751,72.8626837,19.1339977,72.8339749,business,residential
BKC-Chembur,BKC,Chembur,182-598,19.0605751,72.8626837,19.0443516,72.8919425,business,residential
BKC-Marine Drive,BKC,Marine Drive,182-577,19.0605751,72.8626837,18.9347773,72.8217133,business,residential
Lower Parel-Borivali,Lower Parel,Borivali,239-265,18.9991801,72.8289638,19.2205771,72.862368,business,residential
Lower Parel-Andheri West,Lower Parel,Andheri West,239-403,18.9991801,72.8289638,19.1339977,72.8339749,business,residential
Lower Parel-Chembur,Lower Parel,Chembur,239-598,18.9991801,72.8289638,19.0443516,72.8919425,business,residential
Lower Parel-Marine Drive,Lower Parel,Marine Drive,239-577,18.9991801,72.8289638,18.9347773,72.8217133,business,residential
Nariman Point-Borivali,Nariman Point,Borivali,382-265,18.9279097,72.8217757,19.2205771,72.862368,business,residential
Nariman Point-Andheri West,Nariman Point,Andheri West,382-403,18.9279097,72.8217757,19.1339977,72.8339749,business,residential
Nariman Point-Chembur,Nariman Point,Chembur,382-598,18.9279097,72.8217757,19.0443516,72.8919425,business,residential
Nariman Point-Marine Drive,Nariman Point,Marine Drive,382-577,18.9279097,72.8217757,18.9347773,72.8217133,business,residential
